dataset,lambda,seed,metric,n_confident,n_uncertain,median_confident,median_uncertain,U,p_value,cliffs_delta,effect
telco,0.0,0,spearman,1278,480,0.8999999999999998,0.8999999999999998,356798.0,6.654284237233744e-08,0.16326943140323413,small
telco,0.0,0,kendall,1278,480,0.7999999999999999,0.7999999999999999,355893.0,1.089030384753509e-07,0.16031885758998432,small
telco,0.0,0,jaccard,1278,480,1.0,0.6666666666666666,354649.0,3.6678645884798e-09,0.15626304121022438,small
telco,0.0,1,spearman,1342,416,0.8999999999999998,0.8857142857142858,350655.5,7.562204696102574e-16,0.2562173994038748,small
telco,0.0,1,kendall,1342,416,0.7999999999999999,0.7333333333333333,350083.0,1.1235946735014403e-15,0.25416642783446064,small
telco,0.0,1,jaccard,1342,416,1.0,0.6666666666666666,329115.5,1.617699718208534e-10,0.17905071363063163,small
telco,0.0,2,spearman,1310,448,0.8999999999999998,0.8857142857142858,352336.0,1.0580621966525687e-10,0.20070883315158117,small
telco,0.0,2,kendall,1310,448,0.7999999999999999,0.7333333333333333,351774.5,1.435377129476467e-10,0.19879532442748094,small
telco,0.0,2,jaccard,1310,448,1.0,1.0,313264.5,0.011131635886534102,0.06755895583424198,negligible
telco,0.0,3,spearman,1251,507,0.8999999999999998,0.8285714285714287,420660.5,2.5068498888495774e-27,0.3264670315030027,small
telco,0.0,3,kendall,1251,507,0.7999999999999999,0.7333333333333333,422139.0,2.976115770283969e-28,0.33112917949663934,medium
telco,0.0,3,jaccard,1251,507,0.6666666666666666,0.6666666666666666,368360.0,2.633894732328744e-09,0.1615480790909678,small
telco,0.0,4,spearman,1353,405,0.8999999999999998,0.8857142857142858,343614.0,2.8448837071337054e-15,0.25414579398319237,small
telco,0.0,4,kendall,1353,405,0.7999999999999999,0.7333333333333333,344142.0,1.489643217898147e-15,0.25607292436560725,small
telco,0.0,4,jaccard,1353,405,1.0,1.0,303621.5,0.00010918152263682131,0.1081784420537808,negligible
telco,0.0,5,spearman,1287,471,0.8857142857142858,0.8285714285714287,333526.5,0.0011584914045220187,0.10042611316496663,negligible
telco,0.0,5,kendall,1287,471,0.7333333333333333,0.7333333333333333,332701.5,0.001505738437238598,0.09770413592069649,negligible
telco,0.0,5,jaccard,1287,471,0.6666666666666666,0.6666666666666666,307760.5,0.5762645891000545,0.015414639618461345,negligible
