dataset,lambda,seed,coverage_original,avg_set_size_original,ess_fraction,shift_mean_before,shift_mean_after,shift_sd_units
telco,0.0,0,0.90386803185438,1.273037542662116,1.0000000000000004,32.14960182025028,32.135949943117176,-0.000555473491736603
telco,0.0,1,0.8896473265073948,1.2366325369738338,1.0000000000000004,31.84698521046644,32.01137656427759,0.006724010897104176
telco,0.0,2,0.8936291240045506,1.254835039817975,1.0000000000000004,31.5773606370876,31.835608646188852,0.010567962803795253
telco,0.0,3,0.9004550625711035,1.28839590443686,1.0000000000000004,32.321956769055745,32.28896473265074,-0.001338891056425157
telco,0.0,4,0.8828213879408419,1.2303754266211604,1.0000000000000004,33.022184300341294,32.100682593856654,-0.037686374511111745
telco,0.0,5,0.8890784982935154,1.2679180887372015,1.0000000000000004,32.496587030716725,32.593287827076225,0.003971720196953802
telco,0.0,6,0.9197952218430034,1.2804323094425483,1.0000000000000004,31.811717861205917,31.773037542662117,-0.00156918985601706
telco,0.0,7,0.9044368600682594,1.2457337883959045,1.0000000000000004,32.71103526734926,33.06200227531286,0.01427699362024503
telco,0.0,8,0.906712172923777,1.28839590443686,1.0000000000000004,32.87599544937429,32.76450511945392,-0.004481790538035774
telco,0.0,9,0.8845278725824801,1.2349260523321957,1.0000000000000004,32.563139931740615,32.09442548350398,-0.018993157126933533
telco,0.0,10,0.8902161547212741,1.254835039817975,1.0000000000000004,32.39533560864619,32.35381114903299,-0.001699369462256618
telco,0.0,11,0.8976109215017065,1.2679180887372015,1.0000000000000004,32.5193401592719,32.23947667804323,-0.0115164420201224
telco,0.0,12,0.891353811149033,1.2690557451649602,1.0000000000000004,32.562571103526736,32.767918088737204,0.008344139693502305
telco,0.0,13,0.9101251422070534,1.2724687144482367,1.0000000000000004,32.833333333333336,32.725824800910125,-0.00435320954812375
telco,0.0,14,0.9061433447098977,1.2656427758816837,1.0000000000000004,32.985779294653014,32.605233219567694,-0.015332308111341054
telco,0.0,15,0.8833902161547212,1.242320819112628,1.0000000000000004,32.84926052332196,32.86632536973834,0.0006894675591022169
telco,0.0,16,0.9061433447098977,1.2844141069397041,1.0000000000000004,32.18202502844141,32.36689419795222,0.00751402354418882
telco,0.0,17,0.8845278725824801,1.2525597269624573,1.0000000000000004,32.28270762229807,32.55915813424346,0.011178151436914982
telco,0.0,18,0.9078498293515358,1.2781569965870307,1.0000000000000004,32.83276450511946,32.57622298065984,-0.010370352012682382
telco,0.0,19,0.9129692832764505,1.2997724687144483,1.0000000000000004,32.02901023890785,32.98976109215017,0.03940964156108746
telco,0.5,0,0.90386803185438,1.273037542662116,0.7941052722386167,32.14960182025028,43.67235494880546,0.46884277175447797
telco,0.5,1,0.8896473265073948,1.2366325369738338,0.7934656676156117,31.84698521046644,44.22184300341297,0.5061621351781987
